"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","negLogP","PointSize","Significance"
"rassf2b",38.1936632407199,0.229302179248028,2.09064007433055,0.109680371128183,0.912662868054253,NA,"rassf2b",0.0396896185036963,0.0198448092518482,"No significativo"
"foxq2",5.26138025805666,-3.29379790792552,4.73583040190227,-0.695505883530474,NA,NA,"foxq2",NA,NA,"No significativo"
"gpx7",12.9832644617775,1.37704825697781,2.77523180089658,0.496192158266901,0.6197588430855,NA,"gpx7",0.207777267745561,0.10388863387278,"No significativo"
"syncrip",7345.56603574388,-0.0752598009307195,0.159045188249476,-0.473197597230469,0.636072211846101,0.888347648501405,"syncrip",0.19649357707794,0.0982467885389701,"No significativo"
"gpr182",170.076137322868,3.13788443961483,1.62734746569864,1.9282203129666,0.0538277286315817,0.330062394543409,"gpr182",1.26899394571994,0.634496972859968,"No significativo"
"gpr184",1.50923197428181,2.05668202237472,4.6524324538253,0.44206596071775,0.658441475386876,NA,"gpr184",0.181482820620306,0.090741410310153,"No significativo"
"rab1ba",8117.21255103782,0.253969224314011,0.281424709571086,0.90244109943679,0.366822596863545,0.743817389571774,"rab1ba",0.435543918937486,0.217771959468743,"No significativo"
"rab1bb",1073.58255847448,0.0769746975729029,0.557874058290036,0.137978628740762,0.890257307773518,0.972581764439998,"rab1bb",0.0504844526857918,0.0252422263428959,"No significativo"
"gnat1",23.8753444166726,8.85521347190276,3.47553727026994,2.54786894321378,0.0108383179670846,NA,"gnat1",1.96503811210526,0.982519056052631,"Positivo"
"vps53",82.255247871948,-0.191401307616972,0.681306475838522,-0.280932758464396,0.77876197440263,NA,"vps53",0.108595262481083,0.0542976312405414,"No significativo"
"vps51",766.679998796374,0.121290188718523,0.550051447306533,0.220506989505165,0.825476329501839,0.951910866249542,"vps51",0.0832953755981864,0.0416476877990932,"No significativo"
"vps50",565.628682188546,-0.625234123119048,0.255241101130733,-2.44958245497776,0.0143021959234882,0.160228154330652,"vps50",1.84459727692394,0.922298638461972,"No significativo"
"vps54",1363.37816886413,-0.778853379901403,0.274997185404307,-2.83222309623393,0.00462255841198977,0.0822925230137915,"vps54",2.33511759226299,1.1675587961315,"No significativo"
"gb:bc139872",1927.03555205413,0.438942749178678,0.314764235113988,1.39451278198656,0.163162812379815,0.548306550319379,"gb:bc139872",0.78737881750971,0.393689408754855,"No significativo"
"rfc5",421.462516794706,0.113206060059807,0.373844123519138,0.302816208515343,0.762029930416692,0.933925643884245,"rfc5",0.11802797044579,0.059013985222895,"No significativo"
"rfc4",780.904357121227,0.261999002433934,0.355755613094897,0.736457817642489,0.461452129541051,0.805710918603464,"rfc4",0.335873345460362,0.167936672730181,"No significativo"
"crb1",33.833050385054,0.904557688655605,1.11851756734921,0.808711204062113,0.418681282034618,NA,"crb1",0.378116454658779,0.18905822732939,"No significativo"
"rfc3",117.223845751267,0.0403964066605759,1.84950087744873,0.0218417883187491,NA,NA,"rfc3",NA,NA,"No significativo"
"rfc2",474.504353187532,0.0585901460040949,0.392511679633103,0.149269815509341,0.881340732136745,0.96792008181354,"rfc2",0.0548561580142214,0.0274280790071107,"No significativo"
"cdk5r1b",10278.9683319051,0.519667052565359,0.243043218730758,2.13816725798486,0.0325031707399784,0.257023285374198,"cdk5r1b",1.48807427078396,0.74403713539198,"No significativo"
"ciz1a",178.828533752625,-0.464822393427398,0.528604641687598,-0.879338463512973,0.379217786661991,0.750238650137753,"ciz1a",0.421111300901496,0.210555650450748,"No significativo"
"ciz1b",437.973262017135,1.03924863514849,0.579033921220403,1.79479750160079,0.0726859690284708,0.380137283520936,"ciz1b",1.13854941529792,0.569274707648961,"No significativo"
"zgc:85722",10555.4275711396,0.425383978530584,0.212440402118816,2.00236854330877,0.045245109072662,0.299823950769617,"zgc:85722",1.34442836049317,0.672214180246586,"No significativo"
"bcl2l1",1385.39165262493,-0.226974220428927,0.345570721801059,-0.656809752996361,0.511303252282644,0.831421092494231,"bcl2l1",0.291321444817148,0.145660722408574,"No significativo"
"tnnt1",1049.44386496757,1.0233519940231,0.681987457875845,1.50054371558457,0.133473618491838,0.501833519610708,"tnnt1",0.874604565577577,0.437302282788788,"No significativo"
"fign",49.0724253544147,0.757020898730815,1.14492169253611,0.661198843262321,0.508484802989374,NA,"fign",0.293722022242676,0.146861011121338,"No significativo"
"gcgb",17.8590390629659,1.6681203454631,2.25453273687086,0.739896262397296,0.459362942499537,NA,"gcgb",0.337844042917886,0.168922021458943,"No significativo"
"sostdc1a",22.0128255766472,0.077944175045126,1.8419887875405,0.0423152277431613,0.966247406175466,NA,"sostdc1a",0.0149116589056435,0.00745582945282177,"No significativo"
"phf20b",754.871565372641,0.367178724871816,0.307662113324441,1.19344797090636,0.232693977237577,0.630795640342066,"phf20b",0.633214857307752,0.316607428653876,"No significativo"
