"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","negLogP","PointSize","Significance"
"rassf2b",38.1936632407199,-7.97595385542246,2.39280545660421,-3.33330644721183,0.000858203601910946,0.00593247484773476,"rassf2b",3.06640966705018,1.53320483352509,"Negativo"
"foxq2",5.26138025805666,7.36962818835407,4.71507574035747,1.5629925358941,NA,NA,"foxq2",NA,NA,"No significativo"
"gpx7",12.9832644617775,-0.0352093077189394,2.76281527887944,-0.0127439963098871,0.989832037331014,1,"gpx7",0.00443849373469822,0.00221924686734911,"No significativo"
"syncrip",7345.56603574388,0.271484227261557,0.158041772848547,1.71780044204973,0.0858330208804605,0.214113482432349,"syncrip",1.06634560227611,0.533172801138054,"No significativo"
"gpr182",170.076137322868,-1.6033049932248,1.6413617765968,-0.976813896902786,0.328661294827468,0.532108926493993,"gpr182",0.483251438092408,0.241625719046204,"No significativo"
"gpr184",1.50923197428181,0,4.85677794710338,0,1,NA,"gpr184",0,0,"No significativo"
"rab1ba",8117.21255103782,-1.84766560579292,0.281464673288271,-6.56446716459005,5.22192491015205e-11,4.20706867017309e-09,"rab1ba",10.2821693775037,5.14108468875185,"Negativo"
"rab1bb",1073.58255847448,0.179308310807677,0.557560818192349,0.32159417404725,0.747760158001522,0.868302482717107,"rab1bb",0.126237678552019,0.0631188392760095,"No significativo"
"gnat1",23.8753444166726,-4.82463268499025,3.48800073987488,-1.38320861857481,0.16660090783819,0.342384343697221,"gnat1",0.778322636374358,0.389161318187179,"No significativo"
"vps53",82.255247871948,-0.526890559875476,0.669721541170323,-0.786730794047248,0.431439473504475,0.626357746850055,"vps53",0.365080122699128,0.182540061349564,"No significativo"
"vps51",766.679998796374,-0.982970891770634,0.549273689229196,-1.789583064046,0.0735209631281706,0.19070644613641,"vps51",1.13358881230598,0.566794406152988,"No significativo"
"vps50",565.628682188546,-1.3887436198089,0.248404338248791,-5.59065767369165,2.26211164910552e-08,8.60047223894472e-07,"vps50",7.64548596378112,3.82274298189056,"Negativo"
"vps54",1363.37816886413,0.0542023837563695,0.269291492229774,0.201277742967539,0.840481404963691,0.924092248116886,"vps54",0.0754718905659664,0.0377359452829832,"No significativo"
"gb:bc139872",1927.03555205413,0.535286093806722,0.313986653714494,1.70480524402624,0.0882307531752884,0.218798688938719,"gb:bc139872",1.05438001343477,0.527190006717386,"No significativo"
"rfc5",421.462516794706,-0.564120034563803,0.372384432075605,-1.51488619279677,0.129801227534082,0.288246040143362,"rfc5",0.886721200380356,0.443360600190178,"No significativo"
"rfc4",780.904357121227,1.31555484706104,0.353459171587012,3.72194288000584,0.000197695750308051,0.00175632724527375,"rfc4",3.70400266623312,1.85200133311656,"Positivo"
