gene_id,F1_1_1,F1_2_1,F1_3_1,F5_1_1,F5_2_1,F5_3_1,anno_chr,anno_start,anno_end
rassf2b,65,46,0,80,0,21,chr10_KZ115317v1_alt,39893,50542
foxq2,0,8,0,0,0,0,chr22,20427170,20429374
gpx7,0,17,0,41,0,0,chr23,42219243,42231740
syncrip,4806,3598,5457,3568,2266,2060,chr20,2731514,2742596
gpr182,115,12,24,432,59,353,chr23,36653381,36655640
gpr184,0,0,4,12,0,0,chr15,11883797,11909081
rab1ba,9062,6688,8768,8142,3570,6203,chr7,18100996,18116394
rab1bb,1982,585,760,1415,510,360,chr10,26926635,26933708
gnat1,0,0,0,0,110,12,chr6,42919017,42930302
taar12f,0,0,0,0,0,0,chr20_KZ115613v1_alt|chr20|chr20_KZ114970v1_alt,200770|46073582|57751,201957|46074769|58938
taar12g,0,0,0,0,0,0,chr20_KZ115613v1_alt|chr20|chr20_KZ114970v1_alt,195786|46068598|52767,196797|46069609|53778
taar12a,0,0,0,0,0,0,chr20_KZ115613v1_alt|chr20|chr20_KZ114970v1_alt,211996|46084808|68977,213028|46085840|70009
taar12b,0,0,0,0,0,0,chr20_KZ115613v1_alt|chr20|chr20_KZ114970v1_alt,227822|46100634|84803,228836|46101648|85817
taar12c,0,0,0,0,0,0,chr20_KZ115613v1_alt|chr20|chr20_KZ114970v1_alt,231290|46104102|88271,232307|46105119|89288
vps53,70,40,117,27,34,47,chr15_KZ114948v1_alt|chr15,437709|25100726,490335|25153352
vps51,339,770,944,339,438,478,chr10_KZ115324v1_alt,184765,197146
vps50,401,464,579,296,141,145,chr19,40379766,40687805
taar12h,0,0,0,0,0,0,chr20_KZ115613v1_alt|chr20|chr20_KZ114970v1_alt,179873|46052685|36854,180908|46053720|37889
taar12i,0,0,0,0,0,0,chr20_KZ115613v1_alt|chr20|chr20_KZ114970v1_alt,240633|46113445|97614,241655|46114467|98636
taar12j,0,0,0,0,0,0,chr20_KZ115613v1_alt|chr20|chr20_KZ114970v1_alt,172923|46045735|29904,173946|46046758|30927
vps54,799,591,935,425,208,201,chr1,55011549,55044256
gb:bc139872,1314,1517,1552,1134,1178,1126,chr5,1219187,1223706
zgc:113828,0,0,0,0,0,0,chr5_KZ114862v1_alt,106277,127147
rfc5,410,465,478,385,148,369,chr5,12528734,12549746
rfc4,510,504,511,367,352,347,chr11,45426607,45435006
crb1,10,6,11,12,14,3,chr22_KZ115644v1_alt|chr22,39252|23493170,91445|23545307
rfc3,23,63,34,24,31,18,chr10_KZ115330v1_alt|chr10,448061|34024255,457064|34033447
rfc2,557,258,582,478,119,311,chr21,25206289,25213567
cdk5r1b,9874,8908,8471,8568,6120,8556,chr12,28367584,28374043
ciz1a,212,55,193,108,53,41,chr5,1239658,1274794
ciz1b,334,261,417,591,128,568,chr5,63648165,63663771
zgc:85722,4574,6763,7576,5739,4673,4592,chr17,15309438,15382673
bcl2l1,1239,668,1673,1186,266,508,chr23,18953870,18981524
tnnt1,414,998,842,683,262,1764,chr3,32157260,32170850
fign,12,46,24,8,57,8,chr9,50599362,50752283
gcgb,24,0,8,4,44,0,chr9,51265283,51271596
sostdc1a,28,20,32,48,0,13,chr15,34562194,34567365
phf20b,530,550,645,481,374,454,chr23_KZ114984v1_alt|chr23|chr23_KZ115674v1_alt,21342|14992800|21342,65301|15036759|65301
cbfa2t2,978,302,1529,645,170,237,chr6,57634378,57655030
sctr,4,12,0,0,0,0,chr9,925928,950228
cnnm2a,139,90,224,72,17,64,chr13,28618086,28643260
igfbp1a,179,125,261,247,109,68,chr20,6808774,6812616
pycr3,9,27,38,12,36,9,chr20,52529093,52541512
pycr1,47,16,35,0,0,0,chr3,57997977,58004852
b3gnt3.4,229,12,151,262,153,68,chr8,13630058,13641022
b3gnt3.3,0,0,3,34,0,0,chr8,13597405,13600274
b3gnt3.2,0,0,0,0,17,0,chr8,13572531,13574764
b3gnt3.1,21,0,0,0,8,0,chr8,13534465,13541487
taar12e,0,0,0,0,0,0,chr20_KZ115613v1_alt|chr20|chr20_KZ114970v1_alt,187823|46060635|44804,188838|46061650|45819
ap1m2,178,214,96,165,103,179,chr6,112694,119859
ap1m3,0,0,0,8,0,0,chr6_KZ115192v1_alt,1645,36993
paf1,631,413,616,331,285,149,chr15,47616810,47625134
ap1m1,1215,794,1468,854,742,592,chr2,55429988,55492315
neurl2,0,0,0,0,0,0,chr12_KZ115372v1_alt,491324,493566
ubxn1,1262,1467,1217,835,1015,764,chr14,45471736,45482605
crbn,1490,891,2267,890,640,617,chr6,40456798,40466827
mtfr1l,64,19,90,14,10,5,chr17_KZ115527v1_alt|chr17,280282|24718272,287757|24725747
acin1b,13973,16035,18014,11963,7032,7410,chr7,24069420,24096259
fam20a,0,26,40,40,0,20,chr12,2906610,2940070
zgc:158296,12,0,12,16,0,0,chr23,18603187,18609433
tnfsf10l3,24,67,32,122,0,40,chr21,30701902,30714555
s100a1,23,88,7,8,0,26,chr16,29385561,29387215
tnfsf10l4,34,0,4,8,0,0,chr5,22579974,22583539
zgc:158291,128,72,147,70,91,95,chr21_KZ115634v1_alt|chr21,119775|38312575,122441|38315241
ghrh,0,0,0,0,0,0,chr11_KZ115345v1_alt|chr11,71461|15345658,171805|15435495
nemp1,314,216,346,253,73,281,chr23,31942044,31953901
znf131,749,937,955,831,570,526,chr8_KZ115270v1_alt|chr8,163484|31406731,173893|31417139
ghrl,0,0,0,0,0,0,chr6,40438018,40439501
ghrb,140,120,52,94,57,13,chr21,20744286,20765338
ghra,13,16,41,58,42,23,chr8_KZ115270v1_alt,217696,300836
rras2,59,0,37,44,7,21,chr7|chr7_KZ115229v1_alt,27834130|53497,27884724|103378
si:dkey-153k10.9,266,146,298,144,162,147,chr4|chr4_KZ114855v1_alt|chr4_KZ115087v1_alt,9669717|93679|225547,9690419|114381|246246
her9,335,385,334,318,247,262,chr23_KZ115685v1_alt|chr23,332065|23399519,333809|23401263
ate1,350,231,417,216,125,198,chr13,46520778,46713261
her3,0,0,0,0,0,0,chr8,46641315,46642558
her2,18,64,24,0,0,12,chr11,41966117,41966854
her1,0,4,0,0,0,0,chr5,68788658,68795049
uchl1,4254,3552,4506,3662,1424,2287,chr1,22647756,22652024
her6,622,524,637,811,613,422,chr6_KZ115194v1_alt|chr6,193860|36551085,195543|36552768
fech,86,23,85,31,4,10,chr21,1648019,1670264
hnrnpdl,6493,9876,4491,5041,1649,3036,chr10,5017216,5024520
trim35-7,0,0,4,10,0,12,chr3,5420406,5433392
tent5ab,40,61,40,29,60,9,chr23,40275400,40283075
lamc1,267,90,395,235,16,40,chr2,35880600,35979095
si:ch73-335d12.2,4,3,0,0,0,0,chr7,3783875,3792775
anxa3b,28,8,38,65,47,2,chr10_KZ115307v1_alt|chr10,35016|9247593,57156|9269733
zgc:152938,204,179,231,253,154,321,chr4,73051901,73064994
gcdhb,215,454,859,513,286,304,chr3,13941012,13955879
mogs,966,603,1031,519,382,532,chr1,41609687,41617106
zgc:110852,22,9,0,0,0,0,chr24,402493,495029
trim35-9,0,0,0,0,4,0,chr3,8256231,8285123
slc23a1,259,44,316,219,120,102,chr21,30091417,30111134
lhb,5,28,0,0,0,0,chr13,2523066,2526033
tmem214,1967,2455,2293,1961,1277,1301,chr4,764100,779592
stap2b,265,296,21,293,0,0,chr8,18650411,18667693
ch25hl1.1,3,6,2,23,0,7,chr18|chr18_KZ115567v1_alt|chr18_KZ114967v1_alt,26853892|39192|378026,26858973|44273|383107
ch25hl1.2,60,10,34,20,0,3,chr18|chr18_KZ115567v1_alt|chr18_KZ114967v1_alt,26895994|81268|420128,26896826|82100|420960
stap2a,348,363,501,324,132,145,chr2,49522178,49569304
mlsl,81,76,207,87,70,66,chr14,46157355,46173265
cnep1r1,279,163,229,79,260,134,chr7,38260466,38264380
stt3b,2973,2251,3590,2106,1023,1353,chr16,39385483,39477790
zgc:56525,2134,1525,2194,1460,888,1135,chr8,49092017,49112036
pcxb,0,0,5,0,24,0,chr7,60457138,60831082
pcxa,1089,758,1104,670,380,388,chr21,26733345,26966059
usb1,167,101,121,65,96,95,chr25,13677346,13686751
sh3d19,0,0,0,16,0,0,chr1|chr1_KZ115019v1_alt,24394173|267629,24462691|336102
myhz2,225,299,234,269,96,224,chr5,32206523,32217577
tgm2b,292,230,430,972,191,351,chr6,2093390,2121803
tgm2a,12,0,0,13,0,0,chr23,43255374,43272125
atxn10,258,143,292,183,105,139,chr4,18720785,18741990
entpd2a.1,89,7,65,9,0,0,chr5,29571801,29587438
arpc4,719,469,748,723,352,449,chr6,40762429,40768654
fhdc3,11,0,14,12,0,7,chr10|chr10_KZ115323v1_alt,26190807|35997,26202538|47728
nfe2l2b,0,8,12,0,0,0,chr6,10890081,10902853
nfe2l2a,171,212,464,138,130,122,chr9,1654399,1680941
grik5,2532,1439,1586,1828,1319,1670,chr16,11483811,11555934
adora1b,142,17,166,89,66,40,chr8,24122498,24135171
slc27a1a,472,792,386,796,52,1036,chr3|chr3_KZ114854v1_alt,52545014|126885,52603683|194874
decr2,100,98,111,133,154,38,chr24,37709215,37721712
decr1,558,376,318,702,298,391,chr16,36748561,36760156
arntl2,15,7,17,21,12,7,chr18|chr18_KZ114961v1_alt|chr18_KZ115552v1_alt,15570910|112827|412000,15610484|152401|451574
fn3krp,79,78,213,77,0,47,chr3,48221361,48229680
ccl34a.3,0,0,0,0,0,0,chr2,40194452,40196547
cops8,62,93,34,33,72,54,chr9|chr9_KZ115290v1_alt,23895743|14903,23906206|25366
cops9,1633,1283,1934,1712,543,1344,chr24,26284494,26302419
dbh,84,129,92,65,104,78,chr10,10564447,10607118
ccl34a.4,0,0,0,14,56,0,chr2,40199002,40199780
grsf1,999,604,1107,671,227,480,chr5,42943973,42950800
