"gene_id","F1_1_1","F1_2_1","F1_3_1","F4_2_1","F4_3","F4_6_1","F5_1_1","F5_2_1","F5_3_1","M1_1","M1_4_1","M1_7","M4_12","M4_6_1","M4_9","anno_chr","anno_start","anno_end"
"rassf2b",65,46,0,0,74,136,80,0,21,55,97,37,0,0,0,"chr10_KZ115317v1_alt","39893","50542"
"foxq2",0,8,0,0,0,19,0,0,0,0,0,0,0,52,0,"chr22","20427170","20429374"
"gpx7",0,17,0,28,8,45,41,0,0,9,20,16,0,0,45,"chr23","42219243","42231740"
"syncrip",4806,3598,5457,11607,8249,14455,3568,2266,2060,14103,13303,12269,11837,8084,17884,"chr20","2731514","2742596"
"gpr182",115,12,24,0,633,140,432,59,353,40,111,26,0,0,57,"chr23","36653381","36655640"
"gpr184",0,0,4,0,0,0,12,0,0,0,0,0,0,0,0,"chr15","11883797","11909081"
"rab1ba",9062,6688,8768,5524,8489,5430,8142,3570,6203,22635,17845,13170,2694,3541,4934,"chr7","18100996","18116394"
"rab1bb",1982,585,760,1407,1865,1062,1415,510,360,1227,400,1726,1082,779,1125,"chr10","26926635","26933708"
"gnat1",0,0,0,0,0,44,0,110,12,17,5,0,0,0,0,"chr6","42919017","42930302"
"taar12f",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,"chr20_KZ115613v1_alt|chr20|chr20_KZ114970v1_alt","200770|46073582|57751","201957|46074769|58938"
"taar12g",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"chr20_KZ115613v1_alt|chr20|chr20_KZ114970v1_alt","195786|46068598|52767","196797|46069609|53778"
"taar12a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"chr20_KZ115613v1_alt|chr20|chr20_KZ114970v1_alt","211996|46084808|68977","213028|46085840|70009"
"taar12b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"chr20_KZ115613v1_alt|chr20|chr20_KZ114970v1_alt","227822|46100634|84803","228836|46101648|85817"
"taar12c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"chr20_KZ115613v1_alt|chr20|chr20_KZ114970v1_alt","231290|46104102|88271","232307|46105119|89288"
"vps53",70,40,117,81,111,121,27,34,47,220,167,108,145,32,85,"chr15_KZ114948v1_alt|chr15","437709|25100726","490335|25153352"
"vps51",339,770,944,751,599,1934,339,438,478,1547,2362,575,357,645,581,"chr10_KZ115324v1_alt","184765","197146"
"vps50",401,464,579,491,577,669,296,141,145,1867,1877,1416,472,424,582,"chr19","40379766","40687805"
"taar12h",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"chr20_KZ115613v1_alt|chr20|chr20_KZ114970v1_alt","179873|46052685|36854","180908|46053720|37889"
"taar12i",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"chr20_KZ115613v1_alt|chr20|chr20_KZ114970v1_alt","240633|46113445|97614","241655|46114467|98636"
"taar12j",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"chr20_KZ115613v1_alt|chr20|chr20_KZ114970v1_alt","172923|46045735|29904","173946|46046758|30927"
"vps54",799,591,935,1612,1804,2164,425,208,201,4754,2993,2106,2180,2266,3162,"chr1","55011549","55044256"
"gb:bc139872",1314,1517,1552,3046,2889,2090,1134,1178,1126,2394,2653,1878,2150,2671,2383,"chr5","1219187","1223706"
"zgc:113828",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"chr5_KZ114862v1_alt","106277","127147"
"rfc5",410,465,478,231,293,304,385,148,369,949,711,536,463,273,364,"chr5","12528734","12549746"
"rfc4",510,504,511,2310,1018,1702,367,352,347,549,687,656,775,1278,1468,"chr11","45426607","45435006"
"crb1",10,6,11,13,53,6,12,14,3,121,90,132,115,23,41,"chr22_KZ115644v1_alt|chr22","39252|23493170","91445|23545307"
"rfc3",23,63,34,0,53,51,24,31,18,15,58,22,1575,0,0,"chr10_KZ115330v1_alt|chr10","448061|34024255","457064|34033447"
"rfc2",557,258,582,501,522,520,478,119,311,766,636,679,551,495,529,"chr21","25206289","25213567"
"cdk5r1b",9874,8908,8471,11259,11496,10760,8568,6120,8556,20968,16930,13451,4950,6857,8198,"chr12","28367584","28374043"
